listing_id,description,room_type,formatted_description,formatted_room_type
2595,Skylit Midtown Castle,Entire home/apt,Skylit Midtown Castle,entire home/apt
3831,Cozy Entire Floor of Brownstone,Entire home/apt,Cozy Entire Floor of Brownstone,entire home/apt
5099,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,Large Cozy 1 BR Apartment In Midtown East,entire home/apt
5178,Large Furnished Room Near B'way,private room,Large Furnished Room Near B'way,private room
5238,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,Cute & Cozy Lower East Side 1 bdrm,entire home/apt
5295,Beautiful 1br on Upper West Side,Entire home/apt,Beautiful 1br on Upper West Side,entire home/apt
5441,Central Manhattan/near Broadway,Private room,Central Manhattan/near Broadway,private room
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,"Lovely Room 1, Garden, Best Area, Legal rental",private room
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,Wonderful Guest Bedroom in Manhattan for SINGLES,private room
6848,Only 2 stops to Manhattan studio,entire home/apt,Only 2 stops to Manhattan studio,entire home/apt
7097,Perfect for Your Parents + Garden,Entire home/apt,Perfect for Your Parents + Garden,entire home/apt
7322,Chelsea Perfect,Private room,Chelsea Perfect,private room
7726,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,Hip Historic Brownstone Apartment with Backyard,entire home/apt
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,PRIVATE ROOM,CBG CtyBGd HelpsHaiti rm#1:1-4,private room
8025,CBG Helps Haiti Room#2.5,PRIVATE ROOM,CBG Helps Haiti Room#2.5,private room
8110,CBG Helps Haiti Rm #2,Private room,CBG Helps Haiti Rm #2,private room
8490,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,"MAISON DES SIRENES1,bohemian apartment",entire home/apt
8505,Sunny Bedroom Across Prospect Park,Private room,Sunny Bedroom Across Prospect Park,private room
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",PRIVATE ROOM,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room
9657,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt
9668,front room/double bed,PRIVATE ROOM,front room/double bed,private room
9704,Spacious 1 bedroom in luxe building,Private room,Spacious 1 bedroom in luxe building,private room
9782,Loft in Williamsburg Area w/ Roof,Private room,Loft in Williamsburg Area w/ Roof,private room
9783,back room/bunk beds,Private room,back room/bunk beds,private room
10452,Large B&B Style rooms,Private room,Large B&B Style rooms,private room
10962,"Lovely room 2 & garden; Best area, Legal rental",Private room,"Lovely room 2 & garden; Best area, Legal rental",private room
11708,Cute apt in artist's home,Entire home/apt,Cute apt in artist's home,entire home/apt
12048,LowerEastSide apt share shortterm 1,shared room,LowerEastSide apt share shortterm 1,shared room
12192,ENJOY Downtown NYC!,PRIVATE ROOM,ENJOY Downtown NYC!,private room
12299,Beautiful Sunny Park Slope Brooklyn,Entire home/apt,Beautiful Sunny Park Slope Brooklyn,entire home/apt
12318,West Side Retreat,Private room,West Side Retreat,private room
12343,BEST BET IN HARLEM,Entire home/apt,BEST BET IN HARLEM,entire home/apt
12627,Entire apartment in central Brooklyn neighborhood.,Entire home/apt,Entire apartment in central Brooklyn neighborhood.,entire home/apt
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room
12940,Charming Brownstone 3 - Near PRATT,Entire home/apt,Charming Brownstone 3 - Near PRATT,entire home/apt
13394,Fort Greene brownstone,Private room,Fort Greene brownstone,private room
13808,Blue Room for 2 in Brownstone for $1350 monthly,Private room,Blue Room for 2 in Brownstone for $1350 monthly,private room
14287,Cozy 1BD on Central Park West in New York City,Entire home/apt,Cozy 1BD on Central Park West in New York City,entire home/apt
14290,* ORIGINAL BROOKLYN LOFT *,entire home/apt,* ORIGINAL BROOKLYN LOFT *,entire home/apt
14314,Greenpoint Place...Has It All!,ENTIRE HOME/APT,Greenpoint Place...Has It All!,entire home/apt
14322,Beautiful Apartment in Manhattan!!!,Entire home/apt,Beautiful Apartment in Manhattan!!!,entire home/apt
14377,Williamsburg 1 bedroom Apartment,Entire home/apt,Williamsburg 1 bedroom Apartment,entire home/apt
14991,"Great Location, Manhattan Bedroom!",PRIVATE ROOM,"Great Location, Manhattan Bedroom!",private room
15220,Best Location in NYC! TIMES SQUARE!,private room,Best Location in NYC! TIMES SQUARE!,private room
15338,Room in Greenpoint Loft w/ Roof,Private room,Room in Greenpoint Loft w/ Roof,private room
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt,**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt
15385,"Very, very cozy place",Private room,"Very, very cozy place",private room
15711,2 bedroom - Upper East Side-great for kids,ENTIRE HOME/APT,2 bedroom - Upper East Side-great for kids,entire home/apt
16326,Comfortable 4-bedroom apt in family house.,Entire home/apt,Comfortable 4-bedroom apt in family house.,entire home/apt
16421,Your Heaven in Hells Kitchen,Private room,Your Heaven in Hells Kitchen,private room
16580,"Sunny, Modern room in East Village!",Private room,"Sunny, Modern room in East Village!",private room
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt
16821,Large Room in Amazing East Village Apt,Private room,Large Room in Amazing East Village Apt,private room
16974,SpaHa Loft: Enormous and Bright,Entire home/apt,SpaHa Loft: Enormous and Bright,entire home/apt
17092,Cool Room in Hell's Kitchen,Private room,Cool Room in Hell's Kitchen,private room
17693,"HARLEM, NEW YORK WELCOMES YOU!!",Private room,"HARLEM, NEW YORK WELCOMES YOU!!",private room
17747,BLUE TRIM GUEST HOUSE,Private room,BLUE TRIM GUEST HOUSE,private room
18127,Charming East Village One Bedroom Flat,Entire home/apt,Charming East Village One Bedroom Flat,entire home/apt
18152,Manhattan Room,Private room,Manhattan Room,private room
18198,Little King of Queens,Private room,Little King of Queens,private room
18590,Fort Greene Retreat on the Park,Private room,Fort Greene Retreat on the Park,private room
18728,Beautiful Meatpacking District Loft,Private room,Beautiful Meatpacking District Loft,private room
18764,Cozy 2 BR in Williamsburg,private room,Cozy 2 BR in Williamsburg,private room
19159,Spacious luminous apt Upper West NYC,Entire home/apt,Spacious luminous apt Upper West NYC,entire home/apt
19169,Entire 2 Bedroom - Large & Sunny,Entire home/apt,Entire 2 Bedroom - Large & Sunny,entire home/apt
19282,"Sunny, Spacious Top Floor Haven",Entire home/apt,"Sunny, Spacious Top Floor Haven",entire home/apt
19319,Private room Great Deal at Lower East Side,Private room,Private room Great Deal at Lower East Side,private room
20299,Oh glorious spring!,Private room,Oh glorious spring!,private room
20611,Cozy Bedroom in Williamsburg 3 BR,Private room,Cozy Bedroom in Williamsburg 3 BR,private room
20724,Sunny room+Pvte office in huge loft,Private room,Sunny room+Pvte office in huge loft,private room
20734,Spacious Prospect Heights Apartment,Entire home/apt,Spacious Prospect Heights Apartment,entire home/apt
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",private room,"Large Parlor Room, Landmark Home 1 block to PRATT",private room
20853,2-bed brownstone duplex + garden,Entire home/apt,2-bed brownstone duplex + garden,entire home/apt
21293,Sunny Apartment in Artist Home,ENTIRE HOME/APT,Sunny Apartment in Artist Home,entire home/apt
21456,Light-filled classic Central Park,ENTIRE HOME/APT,Light-filled classic Central Park,entire home/apt
21794,COZY QUIET room 4 DOOGLERS!,private room,COZY QUIET room 4 DOOGLERS!,private room
22918,loft bed - near transportation-15min to times sq,Private room,loft bed - near transportation-15min to times sq,private room
23135,House On Henry (3rd FLR Suite),Entire home/apt,House On Henry (3rd FLR Suite),entire home/apt
23686,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt,2000 SF 3br 2bath West Village private townhouse,entire home/apt
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",private room,"Williamsburg—Steps To Subway, Private Bath&Balcony",private room
25235,Large 2 Bedroom Great for Groups!,Entire home/apt,Large 2 Bedroom Great for Groups!,entire home/apt
25696,"1,800 sq foot in luxury building",Private room,"1,800 sq foot in luxury building",private room
26362,"Times Square, Safe, Clean and Cozy!",Private room,"Times Square, Safe, Clean and Cozy!",private room
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room,"Cozy Room #3, Landmark Home 1 Block to PRATT",private room
26969,2 story family home in Williamsburg,Entire home/apt,2 story family home in Williamsburg,entire home/apt
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire home/apt,Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt
27385,Great Large 1 BR apt  in East Village!,Entire home/apt,Great Large 1 BR apt in East Village!,entire home/apt
27531,Eveland Private Bed & Living Room w/ Own Entrance,private room,Eveland Private Bed & Living Room w/ Own Entrance,private room
27644,Sugar Hill Rest Stop,Entire home/apt,Sugar Hill Rest Stop,entire home/apt
27759,apartment next to Central park,entire home/apt,apartment next to Central park,entire home/apt
29013,B & B Room 1,Private room,B & B Room 1,private room
29455,ACCOMMODATIONS GALORE #1,entire home/apt,ACCOMMODATIONS GALORE #1,entire home/apt
29628,Sunny Room in New Condo,Private room,Sunny Room in New Condo,private room
29683,Stylish & Sleek Apartment Near SoHo!,entire home/apt,Stylish & Sleek Apartment Near SoHo!,entire home/apt
30031,NYC artists’ loft with roof deck,private room,NYC artists’ loft with roof deck,private room
30927,Unique & Charming small 1br Apt. LES,Entire home/apt,Unique & Charming small 1br Apt. LES,entire home/apt
31130,Most Central Location!,Private room,Most Central Location!,private room
31555,Luminous Beautiful West Village Studio,Entire home/apt,Luminous Beautiful West Village Studio,entire home/apt
31902,Sanctuary in East Flatbush,Private room,Sanctuary in East Flatbush,private room
31994,Room with En Suite Bathroom & Deck,Private room,Room with En Suite Bathroom & Deck,private room
32023,FLAT MACDONOUGH,Entire home/apt,FLAT MACDONOUGH,entire home/apt
32037,Huge Private  Floor at The Waverly,Private room,Huge Private Floor at The Waverly,private room
32965,FLAT MACDONOUGH GARDEN,ENTIRE HOME/APT,FLAT MACDONOUGH GARDEN,entire home/apt
32969,Light filled Williamsburg Apartment,Entire home/apt,Light filled Williamsburg Apartment,entire home/apt
33009,Retreat in Williamsburg,Entire home/apt,Retreat in Williamsburg,entire home/apt
33014,NYC Zen,Entire home/apt,NYC Zen,entire home/apt
33223,Cozy BR in Wiliamsburg 3 Bedroom,private room,Cozy BR in Wiliamsburg 3 Bedroom,private room
34760,Sunny Room in Old Historical Brooklyn Townhouse,Private room,Sunny Room in Old Historical Brooklyn Townhouse,private room
35526,Sun Filled Classic West Village Apt,Private room,Sun Filled Classic West Village Apt,private room
36133,Classic Artist Loft Williamsburg,Private room,Classic Artist Loft Williamsburg,private room
36703,"Sunny, clean 1 bdrm in W. Village",ENTIRE HOME/APT,"Sunny, clean 1 bdrm in W. Village",entire home/apt
38638,Light and Airy Upper East Side 1 BDR apartment,entire home/apt,Light and Airy Upper East Side 1 BDR apartment,entire home/apt
39267,CENTRAL PARK LOFT all for YOU,ENTIRE HOME/APT,CENTRAL PARK LOFT all for YOU,entire home/apt
39282,Indie-Chic Share In Williamsburg,PRIVATE ROOM,Indie-Chic Share In Williamsburg,private room
39593,"A room w/ a Manhattan view, longer stay",PRIVATE ROOM,"A room w/ a Manhattan view, longer stay",private room
39704,"Private, Large & Sunny 1BR w/W&D",entire home/apt,"Private, Large & Sunny 1BR w/W&D",entire home/apt
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire home/apt,* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt
42580,Parlor Room In Victorian Townhouse,Private room,Parlor Room In Victorian Townhouse,private room
42729,House On Henry (2nd FLR Suite),ENTIRE HOME/APT,House On Henry (2nd FLR Suite),entire home/apt
42882,New York room with a view,Private room,New York room with a view,private room
43957,Sunny cozy room in Brklyn townhouse,private room,Sunny cozy room in Brklyn townhouse,private room
44096,Room with a View,PRIVATE ROOM,Room with a View,private room
44212,West Inn 2 - East Village,Private room,West Inn 2 - East Village,private room
44221,Financial District Luxury Loft,Entire home/apt,Financial District Luxury Loft,entire home/apt
44229,BROOKLYN VICTORIAN STYLE SUITE.....,Private room,BROOKLYN VICTORIAN STYLE SUITE.....,private room
44288,Your own Lovely West Village Studio,entire home/apt,Your own Lovely West Village Studio,entire home/apt
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire home/apt,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt
45556,"Fort Greene, Brooklyn: Center Bedroom",Private room,"Fort Greene, Brooklyn: Center Bedroom",private room
45910,Beautiful Queens Brownstone! - 5BR,entire home/apt,Beautiful Queens Brownstone! - 5BR,entire home/apt
45936,Couldn't Be Closer To Columbia Uni,Private room,Couldn't Be Closer To Columbia Uni,private room
45940,Bright Spacious Luxury Condo,Entire home/apt,Bright Spacious Luxury Condo,entire home/apt
46544,Park Slope haven 15 mins from Soho,Entire home/apt,Park Slope haven 15 mins from Soho,entire home/apt
46723,SAFE  AND BEAUTIFUL ACCOMODATION,PRIVATE ROOM,SAFE AND BEAUTIFUL ACCOMODATION,private room
46911,Large Room in private Brownstone in Park Slope,Private room,Large Room in private Brownstone in Park Slope,private room
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private room
47926,LUX APT IN TIMES SQUARE NEW BUILDING,Entire home/apt,LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt,Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt,Lovely Apt & Garden; Legal; Best Area; Amenities,entire home/apt
51485,Lower East Side $57~/night,Private room,Lower East Side $57~/night,private room
51572,Prime Location in Manhattan,Private room,Prime Location in Manhattan,private room
51850,( F) Excellent/Pvt Rm,Private room,( F) Excellent/Pvt Rm,private room
53137,"Quiet, sunny Midtown Manhattan apt.",entire home/apt,"Quiet, sunny Midtown Manhattan apt.",entire home/apt
53477,3 floors of luxury!,ENTIRE HOME/APT,3 floors of luxury!,entire home/apt
54158,The Institute—Heart of Williamsburg,Entire home/apt,The Institute—Heart of Williamsburg,entire home/apt
54508,Sml Rm in pr Brst  Park Sl great for Med/students,PRIVATE ROOM,Sml Rm in pr Brst Park Sl great for Med/students,private room
54544,City Room - Private Penthouse Apt.,Entire home/apt,City Room - Private Penthouse Apt.,entire home/apt
54626,Cozy bedroom by Yankee Stadium,Private room,Cozy bedroom by Yankee Stadium,private room
54860,Great apartment with private bathroom and entrance,Private room,Great apartment with private bathroom and entrance,private room
55467,Private Garden Apt • New Renovation,Entire home/apt,Private Garden Apt • New Renovation,entire home/apt
55498,Modern comfort in art infused landmark Brownstone,Private room,Modern comfort in art infused landmark Brownstone,private room
55737,Sleek & Comfortable Soho Apt,Entire home/apt,Sleek & Comfortable Soho Apt,entire home/apt
55959,Spacious Williamsburg Share w/ LOFT BED,Private room,Spacious Williamsburg Share w/ LOFT BED,private room
56467,Cozy East Village Railroad 1 Bed!,Entire home/apt,Cozy East Village Railroad 1 Bed!,entire home/apt
56525,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt,1 Bedroom Loft w/ Private Roof Deck,entire home/apt
56859,City Room - Private & Comfy Bedroom,private room,City Room - Private & Comfy Bedroom,private room
57166,Elegant NYC Pad,Entire home/apt,Elegant NYC Pad,entire home/apt
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt,"Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt
57468,"Modern, Large East Village Loft",Entire home/apt,"Modern, Large East Village Loft",entire home/apt
57618,"Great new apt, close to everything",Entire home/apt,"Great new apt, close to everything",entire home/apt
57740,Quiet & Clean Retreat in the City,Entire home/apt,Quiet & Clean Retreat in the City,entire home/apt
57754,Stylish Large Gramercy Loft!,ENTIRE HOME/APT,Stylish Large Gramercy Loft!,entire home/apt
57874,The Brownstone-Luxury 1 Bd Apt/NYC,ENTIRE HOME/APT,The Brownstone-Luxury 1 Bd Apt/NYC,entire home/apt
58059,PRIVATE Room on Historic Sugar Hill,private room,PRIVATE Room on Historic Sugar Hill,private room
58062,South Slope Green,Private room,South Slope Green,private room
58467,"17 Flr. Manhattan Views, Nr. Subway",Private room,"17 Flr. Manhattan Views, Nr. Subway",private room
59014,"Spacious 1BR, Adorable Clean Quiet",Entire home/apt,"Spacious 1BR, Adorable Clean Quiet",entire home/apt
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire home/apt,Franklin St Flat in Trendy Greenpoint Brooklyn,entire home/apt
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt
60164,"Beautiful, elegant 3 bed SOHO loft",Entire home/apt,"Beautiful, elegant 3 bed SOHO loft",entire home/apt
60457,Spacious Greenwich Village Apt,entire home/apt,Spacious Greenwich Village Apt,entire home/apt
60666,City Room - Private Luxury Suite,Private room,City Room - Private Luxury Suite,private room
60680,The gem of the East Village,Entire home/apt,The gem of the East Village,entire home/apt
60948,ACCOMMODATIONS GALORE #2,Entire home/apt,ACCOMMODATIONS GALORE #2,entire home/apt
61406,Great room in great location,private room,Great room in great location,private room
61492,Exclusive Room with Private Bath in  LES,Private room,Exclusive Room with Private Bath in LES,private room
61509,"Quiet, clean midtown apt w. elevato",Entire home/apt,"Quiet, clean midtown apt w. elevato",entire home/apt
62095,BK Sweet Suite w/Kitchen&FullBath,Entire home/apt,BK Sweet Suite w/Kitchen&FullBath,entire home/apt
62427,Great East Village Apartment Rental,Entire home/apt,Great East Village Apartment Rental,entire home/apt
62430,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt
62452,A SpeciaL!! Private Room in NY,Private room,A SpeciaL!! Private Room in NY,private room
62461,B NYC Staten Alternative...,Private room,B NYC Staten Alternative...,private room
62787,C Private Room By The Ferry,private room,C Private Room By The Ferry,private room
62891,Smallest House In The Village,Entire home/apt,Smallest House In The Village,entire home/apt
62903,Beautiful modern studio apartment in heart of NYC,ENTIRE HOME/APT,Beautiful modern studio apartment in heart of NYC,entire home/apt
62925,Beautiful Landmarked Duplex,Entire home/apt,Beautiful Landmarked Duplex,entire home/apt
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room
63320,D Private Che@p Room 2 Explore NYC,Private room,D Private Che@p Room 2 Explore NYC,private room
63360,Safe cute near subway& Manhattan NY NY retro style,Entire home/apt,Safe cute near subway& Manhattan NY NY retro style,entire home/apt
63546,Large and Cozy Private Bedroom,Private room,Large and Cozy Private Bedroom,private room
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire home/apt,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt,"Private, Large & Sunny Top Floor Apt w/W&D",entire home/apt
63693,Cottage in the Village,ENTIRE HOME/APT,Cottage in the Village,entire home/apt
64000,Williamsburg near soho. / loftbed,Private room,Williamsburg near soho. / loftbed,private room
64107,BROOKLYN  STUDIO APARTMENT,Private room,BROOKLYN STUDIO APARTMENT,private room
64277,BEDROOM2 FOR RENT  10min from Manh,PRIVATE ROOM,BEDROOM2 FOR RENT 10min from Manh,private room
64314,cozy bedroom in lovely garden apt,private room,cozy bedroom in lovely garden apt,private room
64365,Crown Heights Garden Apt.,private room,Crown Heights Garden Apt.,private room
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire home/apt,Amazing Sunny & Breezy Home In the Heart of NYC,entire home/apt
64837,ENJOY Downtown NYC!!,private room,ENJOY Downtown NYC!!,private room
65019,Charming UWS Treehouse Apt,Entire home/apt,Charming UWS Treehouse Apt,entire home/apt
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private room
65562,CHARMING EAST VILLAGE 2 (or 1) BR,Entire home/apt,CHARMING EAST VILLAGE 2 (or 1) BR,entire home/apt
65615,Farmhouse Apartment in Williamsburg,Entire home/apt,Farmhouse Apartment in Williamsburg,entire home/apt
65660,Bright+Spacious Williamsburg Abode!,Entire home/apt,Bright+Spacious Williamsburg Abode!,entire home/apt
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",PRIVATE ROOM,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private room
66008,CHARMING CARROLL GARDENS APT.,Entire home/apt,CHARMING CARROLL GARDENS APT.,entire home/apt
66026,Private Bedroom Brownstone Brooklyn,Private room,Private Bedroom Brownstone Brooklyn,private room
66251,East Village Loft with Piano & Patio,Entire home/apt,East Village Loft with Piano & Patio,entire home/apt
66275,Lower East Side Magic Room,Private room,Lower East Side Magic Room,private room
66451,**Fantastic Williamsburg Apt**,entire home/apt,**Fantastic Williamsburg Apt**,entire home/apt
66718,West Harlem Home Base - Eco-Apt.,entire home/apt,West Harlem Home Base - Eco-Apt.,entire home/apt
66741,Charming Garden Apt in Park Slope,Entire home/apt,Charming Garden Apt in Park Slope,entire home/apt
66974,"Lovely, Modern, Garden Apartment",Entire home/apt,"Lovely, Modern, Garden Apartment",entire home/apt
67288,Central Park 1BR sunny condo,Entire home/apt,Central Park 1BR sunny condo,entire home/apt
67299,Cozy Garden Apartment  in Williamsburg,Entire home/apt,Cozy Garden Apartment in Williamsburg,entire home/apt
67397,SoHa comfort-by NW Central Park!,Private room,SoHa comfort-by NW Central Park!,private room
68099,Cozy room in Upper West Side,Private room,Cozy room in Upper West Side,private room
68403,The Cozy Brownstone Inn (discount)!,entire home/apt,The Cozy Brownstone Inn (discount)!,entire home/apt
68735,Prewar Penthouse w Private Terrace,ENTIRE HOME/APT,Prewar Penthouse w Private Terrace,entire home/apt
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire home/apt,Designer 2.5 BR Loft in Carroll Gardens by Subway,entire home/apt
68974,Unique spacious loft on the Bowery,ENTIRE HOME/APT,Unique spacious loft on the Bowery,entire home/apt
69894,"Nice renovated apt, prime location!",Entire home/apt,"Nice renovated apt, prime location!",entire home/apt
69921,Brooklyn Writer's Nook,Private room,Brooklyn Writer's Nook,private room
70095,Private Bedroom in Large NYC Apartment,Private room,Private Bedroom in Large NYC Apartment,private room
70128,"Large, Sunny Room East Village NYC",private room,"Large, Sunny Room East Village NYC",private room
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,ENTIRE HOME/APT,Great Large 3 BR/2 Bath Duplex with Private Patio!,entire home/apt
71010,All That Jazz. Uptown style on Sugar Hill.,entire home/apt,All That Jazz. Uptown style on Sugar Hill.,entire home/apt
71248,Bright and lovely 1 bdrm apt in LES,Entire home/apt,Bright and lovely 1 bdrm apt in LES,entire home/apt
71366,Beautiful One Bed West Village - 4 Month Special,Entire home/apt,Beautiful One Bed West Village - 4 Month Special,entire home/apt
71812,Condo Apartment with laundry in unit,entire home/apt,Condo Apartment with laundry in unit,entire home/apt
72190,1BR: See Central Park from Terrace!,entire home/apt,1BR: See Central Park from Terrace!,entire home/apt
72265,Private room in cozy Greenpoint,Private room,Private room in cozy Greenpoint,private room
74073,Food & Music Dream Apartment in Williamsburg,Entire home/apt,Food & Music Dream Apartment in Williamsburg,entire home/apt
74240,French Garden cottage off Bedford,ENTIRE HOME/APT,French Garden cottage off Bedford,entire home/apt
74680,One Bedroom Mini studio - Free WIFI,Entire home/apt,One Bedroom Mini studio - Free WIFI,entire home/apt
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Private room,BROOKLYN > Guest Room w/ King Bed in Williamsburg,private room
75635,Bright Cozy Chinatown Studio Apt.,Entire home/apt,Bright Cozy Chinatown Studio Apt.,entire home/apt
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,Entire home/apt,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,entire home/apt
77765,Superior @ Box House,private room,Superior @ Box House,private room
77936,Hells Kitchen Garden of Eden,private room,Hells Kitchen Garden of Eden,private room
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,Entire home/apt,Lovely 3 bedroom in Italianate Brownstone w/garden,entire home/apt
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",PRIVATE ROOM,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",private room
80493,Cozy room in East Village with AC,PRIVATE ROOM,Cozy room in East Village with AC,private room
80700,Loft w/ Terrace @ Box House Hotel,Private room,Loft w/ Terrace @ Box House Hotel,private room
82550,Columbia Castle 2 BR,Entire home/apt,Columbia Castle 2 BR,entire home/apt
82638,"Charming Artist's Flat, East Village",Entire home/apt,"Charming Artist's Flat, East Village",entire home/apt
82928,BEAUTIFUL 2 BEDROOM APARTMENT,Entire home/apt,BEAUTIFUL 2 BEDROOM APARTMENT,entire home/apt
83243,Brooklyn Cove Studio Apt w/ Garden!!,Entire home/apt,Brooklyn Cove Studio Apt w/ Garden!!,entire home/apt
83847,East Village Designer's 1-BR APT,Entire home/apt,East Village Designer's 1-BR APT,entire home/apt
84010,Superior @ Box House,Private room,Superior @ Box House,private room
84659,Large Studio--Heart of East Village,entire home/apt,Large Studio--Heart of East Village,entire home/apt
84905,Huge.Bright.Clean.Safe. Private Room,PRIVATE ROOM,Huge.Bright.Clean.Safe. Private Room,private room
85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,Entire home/apt,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,entire home/apt
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,Entire home/apt,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,entire home/apt
89621,"WONDERFUL, COMFORTABLE STUDIO",entire home/apt,"WONDERFUL, COMFORTABLE STUDIO",entire home/apt
93313,MAISON DES SIRENES 2,Entire home/apt,MAISON DES SIRENES 2,entire home/apt
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",Private room,"Modern, Safe, Clean, Bright Room in Astoria for 2",private room
94477,The Vernon On Greene,Entire home/apt,The Vernon On Greene,entire home/apt
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",Entire home/apt,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",entire home/apt
96471,"The Brooklyn Waverly, One Bedroom",private room,"The Brooklyn Waverly, One Bedroom",private room
99070,Comfortable Cozy Space in El Barrio,Shared room,Comfortable Cozy Space in El Barrio,shared room
99085,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,Entire home/apt,Sunny Bklyn Jewel Fort Greene JULY - AUG 2019,entire home/apt
100002,"MANHATTAN Neat, Nice, Bright ROOM",Private room,"MANHATTAN Neat, Nice, Bright ROOM",private room
100184,Bienvenue,private room,Bienvenue,private room
100186,Large Brand New Park Slope 1BR,Entire home/apt,Large Brand New Park Slope 1BR,entire home/apt
101053,Colorful Artistic Williamsburg Apt,Private room,Colorful Artistic Williamsburg Apt,private room
103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,Entire home/apt,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,entire home/apt
103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN,Entire home/apt,BOHEMIAN EAST VILLAGE 2 BED HAVEN,entire home/apt
105510,Private 1-Bedroom Apt in Townhouse,entire home/apt,Private 1-Bedroom Apt in Townhouse,entire home/apt
