listing_id,description,room_type,formatted_description,formatted_room_type
13216067,SUNNY APT Best location In Williamsburg!!!!!,ENTIRE HOME/APT,SUNNY APT Best location In Williamsburg!!!!!,entire home/apt
13216246,Comfy Greenpoint room w/ easy access to Manhattan!,Private room,Comfy Greenpoint room w/ easy access to Manhattan!,private room
13216357,"Cozy, clean, Harlem studio",entire home/apt,"Cozy, clean, Harlem studio",entire home/apt
13217241,Amazing and Perfect 1BR in Beautiful SOHO/Nolita!,ENTIRE HOME/APT,Amazing and Perfect 1BR in Beautiful SOHO/Nolita!,entire home/apt
13217609,"Bright Guest Room with Balcony, Harlem",Private room,"Bright Guest Room with Balcony, Harlem",private room
13221788,Minimalist room next to the subway (2),private room,Minimalist room next to the subway (2),private room
13222669,"Charming Garden Studio in Sunnyside, NY",ENTIRE HOME/APT,"Charming Garden Studio in Sunnyside, NY",entire home/apt
13225764,Large Clean and Modern Room  Near Subway Lines,private room,Large Clean and Modern Room Near Subway Lines,private room
13231566,Large DT Bedroom! - TriBeCa/Financial  Manhattan!,PRIVATE ROOM,Large DT Bedroom! - TriBeCa/Financial Manhattan!,private room
13231961,Cozy Brooklyn Nest,Entire home/apt,Cozy Brooklyn Nest,entire home/apt
13232690,Room & Breakfast -  Room 3,Private room,Room & Breakfast - Room 3,private room
13232952,Happy and spacious corner near 7 train,Private room,Happy and spacious corner near 7 train,private room
13233830,Beautiful Historic Brooklyn Townhouse! 4Br/3.5Bath,entire home/apt,Beautiful Historic Brooklyn Townhouse! 4Br/3.5Bath,entire home/apt
13234352,Amazing private Upper East loft!,entire home/apt,Amazing private Upper East loft!,entire home/apt
13236148,Garden level apartment in Bed-Stuy,Entire home/apt,Garden level apartment in Bed-Stuy,entire home/apt
13237057,City room 2 min walk from train (4),PRIVATE ROOM,City room 2 min walk from train (4),private room
13237828,Amazing Open Floor Studio Extension,entire home/apt,Amazing Open Floor Studio Extension,entire home/apt
13238321,Home away from home,Private room,Home away from home,private room
13240737,Times Square / Broadway Area - Midtown Manhattan,Private room,Times Square / Broadway Area - Midtown Manhattan,private room
13244254,Luxury Studio in Harlem,Entire home/apt,Luxury Studio in Harlem,entire home/apt
13245726,"Bright, spacious room in a fantastic neighborhood!",PRIVATE ROOM,"Bright, spacious room in a fantastic neighborhood!",private room
13246042,"Sunny, Private Room with Separate Entrance",PRIVATE ROOM,"Sunny, Private Room with Separate Entrance",private room
13246278,3 br 80s light loft in Lower East Side / Chinatown,Entire home/apt,3 br 80s light loft in Lower East Side / Chinatown,entire home/apt
13246804,One cozy private BR close to the mecca of shopping,PRIVATE ROOM,One cozy private BR close to the mecca of shopping,private room
13246949,Cozy Room in 4bdrm Apt in Hip Williamsburg,Private room,Cozy Room in 4bdrm Apt in Hip Williamsburg,private room
13248583,Spacious & cozy room in trendy SoHa !,Private room,Spacious & cozy room in trendy SoHa !,private room
13248968,Luxurious 1 bdr apt with balcony!,entire home/apt,Luxurious 1 bdr apt with balcony!,entire home/apt
13249656,renovated one bedroom in our beautiful townhouse,entire home/apt,renovated one bedroom in our beautiful townhouse,entire home/apt
13252064,1st Time/Solo Guests: Charming NYC Apt. Share!!!,SHARED ROOM,1st Time/Solo Guests: Charming NYC Apt. Share!!!,shared room
13254864,2 Bed 1 Bedroom Flex Apartment - Greenwich Village,Entire home/apt,2 Bed 1 Bedroom Flex Apartment - Greenwich Village,entire home/apt
13256651,Large Comfy Couch in South Prospect Park,Shared room,Large Comfy Couch in South Prospect Park,shared room
13264690,Beautiful and Comfy Private Room,private room,Beautiful and Comfy Private Room,private room
13274952,Helles und modernes Zimmer/Wohnung in Bushwick,private room,Helles und modernes Zimmer/Wohnung in Bushwick,private room
13276227,KINGLY MANHATTAN  RED ROOM WITH GYM AND AMENITIES,PRIVATE ROOM,KINGLY MANHATTAN RED ROOM WITH GYM AND AMENITIES,private room
13276525,EXECUTIVE MANHATTAN GREEN ROOM WITH ALL AMENITIES,PRIVATE ROOM,EXECUTIVE MANHATTAN GREEN ROOM WITH ALL AMENITIES,private room
13282840,Cozy Private room near Central Park,PRIVATE ROOM,Cozy Private room near Central Park,private room
13287347,"Carroll Gardens Beautiful, Private, Sunny Suite",PRIVATE ROOM,"Carroll Gardens Beautiful, Private, Sunny Suite",private room
13291508,Cozy comfortable private room in Brooklyn NY,PRIVATE ROOM,Cozy comfortable private room in Brooklyn NY,private room
13292979,Park Slope luxury penthouse w/ private roof deck,private room,Park Slope luxury penthouse w/ private roof deck,private room
13293325,Cozy Beautiful Room Only 20min from Manhattan NYC!,PRIVATE ROOM,Cozy Beautiful Room Only 20min from Manhattan NYC!,private room
13294007,Large and Beautiful ELEVATOR 1 BR - Very Quiet,entire home/apt,Large and Beautiful ELEVATOR 1 BR - Very Quiet,entire home/apt
13294325,"Private Bedroom in Brownstone House, Bedstuy",private room,"Private Bedroom in Brownstone House, Bedstuy",private room
13294856,"NYCT02-3: Private Sunny Rm, NYU, Baruch, SOHO",Private room,"NYCT02-3: Private Sunny Rm, NYU, Baruch, SOHO",private room
13295693,Cozy private room in Homecrest Brooklyn,private room,Cozy private room in Homecrest Brooklyn,private room
13296897,Beautiful Bedroom Mid Town Manhattan,private room,Beautiful Bedroom Mid Town Manhattan,private room
